speler id,speler naam,positie,club,transferwaarde
950000,Emiliano Martinez,Keeper,Argentinië,3500000
950001,Marcos Senesi,Verdediger,Argentinië,4000000
950002,Cristian Romero 1,Verdediger,Argentinië,4000000
950003,Marcos Acuna,Verdediger,Argentinië,4000000
950004,Nahuel Molina,Verdediger,Argentinië,3500000
950005,Alexis Mac Allister,Verdediger,Argentinië,3500000
950006,Nicolas Gonzalez,Middenvelder,Argentinië,4000000
950007,Thiago Almada,Middenvelder,Argentinië,4000000
950008,Julian Alvarez,Middenvelder,Argentinië,3500000
950009,Enzo Fernandez,Middenvelder,Argentinië,3500000
950010,Nico Paz,Middenvelder,Argentinië,3500000
950011,Rodrigo De Paul,Aanvaller,Argentinië,4000000
950012,Lionel Messi,Aanvaller,Argentinië,4000000
950013,Franco Mastantuono,Aanvaller,Argentinië,4000000
950014,Giuliano Simeone,Aanvaller,Argentinië,4000000
950015,Luca Zidane,Keeper,Algerije,3500000
950016,Ramy Bensebaini,Verdediger,Algerije,4000000
950017,Aissa Mandi,Verdediger,Algerije,4000000
950018,Rayan Ait Nouri,Verdediger,Algerije,4000000
950019,Rafik Belghali,Verdediger,Algerije,3500000
950020,Hicham Boudaoui,Verdediger,Algerije,3500000
950021,Mohamed Amoura,Middenvelder,Algerije,4000000
950022,Fares Chaibi,Middenvelder,Algerije,4000000
950023,Ibrahim Maza,Middenvelder,Algerije,3500000
950024,Ismael Bennacer,Middenvelder,Algerije,3500000
950025,Riyad Mahrez,Middenvelder,Algerije,3500000
950026,Himad Abdelli,Aanvaller,Algerije,4000000
950027,Anis Hadj Moussa,Aanvaller,Algerije,4000000
950028,Zineddine Belaid,Aanvaller,Algerije,4000000
950029,Baghdad Bounedjah,Aanvaller,Algerije,4000000
950030,Mathew Ryan,Keeper,Australië,3500000
950031,Lucas Herrington,Verdediger,Australië,4000000
950032,Alessandro Circati,Verdediger,Australië,4000000
950033,Jason Geria,Verdediger,Australië,4000000
950034,Aiden Oneill,Verdediger,Australië,3500000
950035,Connor Metcalfe,Verdediger,Australië,3500000
950036,Jordan Bos,Middenvelder,Australië,4000000
950037,Jacob Italiano,Middenvelder,Australië,4000000
950038,Deni Juric,Middenvelder,Australië,3500000
950039,Martin Boyle,Middenvelder,Australië,3500000
950040,Riley Mcgree,Middenvelder,Australië,3500000
950041,Awer Mabil,Aanvaller,Australië,4000000
950042,Nestory Irankunda,Aanvaller,Australië,4000000
