speler id,speler naam,positie,club,transferwaarde,actief
226,Cameron Peupion,Aanvaller,ADO Den Haag,1500000,true
230,Dani van Loenen,Aanvaller,ADO Den Haag,1000000,true
231,Daryl van Mieghem,Aanvaller,ADO Den Haag,1500000,true
567,Donát Bárány,Aanvaller,ADO Den Haag,1500000,true
228,Evan Rottier,Aanvaller,ADO Den Haag,1500000,true
225,Jalen Hawkins,Aanvaller,ADO Den Haag,1250000,true
224,Jesse Bal,Aanvaller,ADO Den Haag,1500000,true
227,Luka Reischl,Aanvaller,ADO Den Haag,1500000,true
229,Nigel Thomas,Aanvaller,ADO Den Haag,1250000,true
582,Yannick Eduardo,Aanvaller,ADO Den Haag,1500000,true
213,Caleb Kramer,Keeper,ADO Den Haag,1000000,true
214,Kilian Nikiema,Keeper,ADO Den Haag,1500000,true
566,Niclas Thiede,Keeper,ADO Den Haag,1250000,true
221,Finn de Bruin,Middenvelder,ADO Den Haag,1250000,true
564,Jan Zamburek,Middenvelder,ADO Den Haag,1500000,true
223,Juho Kilo,Middenvelder,ADO Den Haag,1500000,true
222,Mylian Jimenez,Middenvelder,ADO Den Haag,1250000,true
216,Illaijh de Ruijter,Verdediger,ADO Den Haag,1250000,true
563,Lasse Wilhelm,Verdediger,ADO Den Haag,1250000,true
220,Matteo Waem,Verdediger,ADO Den Haag,1500000,true
217,Milan Hokke,Verdediger,ADO Den Haag,1500000,true
218,Pascal Mulder,Verdediger,ADO Den Haag,1500000,true
215,Sanyika Bergtop,Verdediger,ADO Den Haag,1000000,true
219,Sekou Sylla,Verdediger,ADO Den Haag,1500000,true
404,Amourricho van Axel Dongen,Aanvaller,Ajax,1500000,true
401,Don-Angelo Konadu,Aanvaller,Ajax,1750000,true
398,Kasper Dolberg,Aanvaller,Ajax,2500000,true
397,Maher Carrizo,Aanvaller,Ajax,2000000,true
575,Marcos Leonardo,Aanvaller,Ajax,3000000,true
400,Mika Godts,Aanvaller,Ajax,3500000,true
399,Oliver Edvardsen,Aanvaller,Ajax,2000000,true
603,Tolu Arokodare,Aanvaller,Ajax,2500000,true
372,Joeri Heerkens,Keeper,Ajax,1750000,true
373,Maarten Paes,Keeper,Ajax,2000000,true
374,Paul Reverson,Keeper,Ajax,1500000,true
394,Abdellah Ouazane,Middenvelder,Ajax,1500000,true
392,Davy Klaassen,Middenvelder,Ajax,2750000,true
393,Jorthy Mokio,Middenvelder,Ajax,2000000,true
390,Kian Fitz-Jim,Middenvelder,Ajax,2000000,true
388,Mohamed Abdalla,Middenvelder,Ajax,1250000,true
391,Oscar Gloukh,Middenvelder,Ajax,2750000,true
389,Rayane Bounida,Middenvelder,Ajax,2000000,true
396,Steven Berghuis,Middenvelder,Ajax,2500000,true
395,Youri Regeer,Middenvelder,Ajax,2000000,true
377,Aaron Bouwman,Verdediger,Ajax,2500000,true
384,Ahmetcan Kaplan,Verdediger,Ajax,1750000,true
379,Anton Gaaei,Verdediger,Ajax,2500000,true
378,Caio Henrique,Verdediger,Ajax,2500000,true
376,Daley Blind,Verdediger,Ajax,2500000,true
382,Dies Janse,Verdediger,Ajax,2000000,true
386,Josip Sutalo,Verdediger,Ajax,2250000,true
381,Ko Itakura,Verdediger,Ajax,2500000,true
385,Lucas Rosa,Verdediger,Ajax,2250000,true
387,Owen Wijndal,Verdediger,Ajax,2000000,true
375,Youri Baas,Verdediger,Ajax,2750000,true
208,Ayoub Oufkir,Aanvaller,AZ,1750000,true
487,Bendegúz Kovács,Aanvaller,AZ,1250000,true
211,Ibrahim Sadiq,Aanvaller,AZ,1750000,true
205,Isak Jensen,Aanvaller,AZ,2000000,true
204,Jizz Hornkamp,Aanvaller,AZ,2000000,true
206,Mayckel Lahdo,Aanvaller,AZ,1750000,true
207,Mexx Meerdink,Aanvaller,AZ,2500000,true
203,Ro-Zangelo Daal,Aanvaller,AZ,2000000,true
212,Sem van Duijn,Aanvaller,AZ,1750000,true
209,Troy Parrott,Aanvaller,AZ,3250000,true
202,Wassim Bouziane,Aanvaller,AZ,1250000,true
210,Weslley Patati,Aanvaller,AZ,2000000,true
183,Hobie Verhulst,Keeper,AZ,1750000,true
181,Jari De Busser,Keeper,AZ,2250000,true
184,Jeroen Zoet,Keeper,AZ,2000000,true
182,Rome-Jayden Owusu-Oduro,Keeper,AZ,2250000,true
597,Calvin Stengs,Middenvelder,AZ,2250000,true
199,Dave Kwakman,Middenvelder,AZ,1500000,true
197,Jordy Clasie,Middenvelder,AZ,1750000,true
201,Kees Smit,Middenvelder,AZ,2000000,true
194,Lewis Schouten,Middenvelder,AZ,1250000,true
200,Matej Sin,Middenvelder,AZ,1750000,true
198,Peer Koopmeiners,Middenvelder,AZ,2000000,true
193,Alexandre Penetra,Verdediger,AZ,2250000,true
489,Andrea Natali,Verdediger,AZ,1250000,true
195,Billy van Duijl,Verdediger,AZ,1500000,true
191,Denso Kasius,Verdediger,AZ,2250000,true
188,Elijah Dijkstra,Verdediger,AZ,2000000,true
185,Mateo Chávez,Verdediger,AZ,2000000,true
187,Maxim Dekker,Verdediger,AZ,1500000,true
186,Mees de Wit,Verdediger,AZ,2500000,true
190,Rion Ichihara,Verdediger,AZ,1750000,true
595,Sam de Grand,Verdediger,AZ,1750000,true
192,Seiya Maikuma,Verdediger,AZ,2000000,true
189,Wouter Goes,Verdediger,AZ,2250000,true
20,Danyello Look,Aanvaller,Cambuur,1250000,true
19,Fabian Kvam,Aanvaller,Cambuur,1250000,true
17,Ilyes Hamache,Aanvaller,Cambuur,1500000,true
16,Nicolas Binder,Aanvaller,Cambuur,1250000,true
21,Skye Vink,Aanvaller,Cambuur,1500000,true
18,Wiebe Kooistra,Aanvaller,Cambuur,1250000,true
3,Jasper Meijster,Keeper,Cambuur,1000000,true
2,Matthijs Kalisvaart,Keeper,Cambuur,1250000,true
1,Thijs Jansen,Keeper,Cambuur,1500000,true
15,Daan Visser,Middenvelder,Cambuur,1250000,true
11,Ethan Apkakou,Middenvelder,Cambuur,1250000,true
12,Iwan Henstra,Middenvelder,Cambuur,1250000,true
13,Nicky Souren,Middenvelder,Cambuur,1500000,true
9,Rik Mulders,Middenvelder,Cambuur,1500000,true
14,Wiebe van der Heide,Middenvelder,Cambuur,1000000,true
5,Ismaël Baouf,Verdediger,Cambuur,1500000,true
4,Jamal Amofa,Verdediger,Cambuur,1500000,true
6,Jorn Berkhout,Verdediger,Cambuur,1250000,true
8,Lucas Jetten,Verdediger,Cambuur,1250000,true
7,Morgan Costarelli,Verdediger,Cambuur,1250000,true
10,Ryan van de Pavert,Verdediger,Cambuur,1250000,true
40,David Garden,Aanvaller,Excelsior,1250000,true
39,Gyan de Regt,Aanvaller,Excelsior,1500000,true
41,Nesto Groen,Aanvaller,Excelsior,1000000,true
574,Celton Biai,Keeper,Excelsior,1250000,true
24,Stijn van Gassel,Keeper,Excelsior,1750000,true
22,Tijmen Holla,Keeper,Excelsior,1000000,true
37,Daniël van Vianen,Middenvelder,Excelsior,1250000,true
560,Ilano Silva Timas,Middenvelder,Excelsior,1500000,true
38,Irakli Yegoian,Middenvelder,Excelsior,1750000,true
34,Lennard Hartjes,Middenvelder,Excelsior,1250000,true
36,Mathijs Tielemans,Middenvelder,Excelsior,1250000,true
551,Noa El Hamdaoui,Middenvelder,Excelsior,1250000,true
35,Noah Naujoks,Middenvelder,Excelsior,1750000,true
598,Valentin Sulzbacher,Middenvelder,Excelsior,1250000,true
33,Yacqub Finey,Middenvelder,Excelsior,1500000,true
31,Casper Widell,Verdediger,Excelsior,1500000,true
591,Guilliano Cairo,Verdediger,Excelsior,1000000,true
559,Jan Plug,Verdediger,Excelsior,1500000,true
25,Kasey Bos,Verdediger,Excelsior,1500000,true
30,Marlon van de Wetering,Verdediger,Excelsior,1000000,true
28,Nolan Martens,Verdediger,Excelsior,1250000,true
602,Osman Turay,Verdediger,Excelsior,1250000,true
29,Rick Meissen,Verdediger,Excelsior,1500000,true
27,Simon Janssen,Verdediger,Excelsior,1250000,true
26,Stan Henderikx,Verdediger,Excelsior,1250000,true
289,Anis Hadj Moussa,Aanvaller,Feyenoord,3000000,true
293,Ayase Ueda,Aanvaller,Feyenoord,4000000,true
291,Aymen Sliti,Aanvaller,Feyenoord,1750000,true
292,Casper Tengstedt,Aanvaller,Feyenoord,2250000,true
287,Gaoussou Diarra,Aanvaller,Feyenoord,2000000,true
285,Gonçalo Borges,Aanvaller,Feyenoord,2000000,true
273,Luka Ivanušec,Aanvaller,Feyenoord,1500000,true
288,Nacho Ferri,Aanvaller,Feyenoord,2500000,true
294,Shaqueel van Persie,Aanvaller,Feyenoord,2000000,true
286,Stéphano Carrillo,Aanvaller,Feyenoord,1500000,true
256,Liam Bossin,Keeper,Feyenoord,1250000,true
255,Mannou Berger,Keeper,Feyenoord,1250000,true
565,Tjark Ernst,Keeper,Feyenoord,3000000,true
282,Charles Vanhoutte,Middenvelder,Feyenoord,1750000,true
283,Gjivai Zechiël,Middenvelder,Feyenoord,2000000,true
275,Jakub Moder,Middenvelder,Feyenoord,2000000,true
280,Luciano Valente,Middenvelder,Feyenoord,2750000,true
279,Oussama Targhalline,Middenvelder,Feyenoord,2250000,true
276,Sem Steijn,Middenvelder,Feyenoord,3000000,true
274,Thijs Kraaijeveld,Middenvelder,Feyenoord,1750000,true
281,Tobias van den Elshout,Middenvelder,Feyenoord,1750000,true
258,Anel Ahmedhodzic,Verdediger,Feyenoord,2500000,true
266,Bart Nieuwkoop,Verdediger,Feyenoord,2000000,true
269,Gijs Smal,Verdediger,Feyenoord,2000000,true
268,Givairo Read,Verdediger,Feyenoord,2750000,true
270,Jeremiah St. Juste,Verdediger,Feyenoord,2000000,true
260,Jordan Bos,Verdediger,Feyenoord,3250000,true
264,Jordan Lotomba,Verdediger,Feyenoord,2000000,true
261,Mats Deijl,Verdediger,Feyenoord,2250000,true
265,Mika Mármol,Verdediger,Feyenoord,2500000,true
580,Neraysho Kasanwirjo,Verdediger,Feyenoord,1500000,true
259,Thomas Beelen,Verdediger,Feyenoord,1750000,true
271,Tsuyoshi Watanabe,Verdediger,Feyenoord,2750000,true
585,Anthony Descotte,Aanvaller,Fortuna,1750000,true
178,Kristoffer Peterson,Aanvaller,Fortuna,1750000,true
180,Lequincio Zeefuik,Aanvaller,Fortuna,1750000,true
179,Ole Romeny,Aanvaller,Fortuna,1500000,true
166,Luuk Koopmans,Keeper,Fortuna,1500000,true
165,Mattijs Branderhorst,Keeper,Fortuna,1750000,true
164,Ramazan Bayram,Keeper,Fortuna,1000000,true
174,Mohamed Ihattaren,Middenvelder,Fortuna,2000000,true
531,Moussa Gbemou,Middenvelder,Fortuna,1000000,true
568,Nick de Groot,Middenvelder,Fortuna,1250000,true
172,Philip Brittijn,Middenvelder,Fortuna,1500000,true
569,Shiloh 't Zand,Middenvelder,Fortuna,1500000,true
177,Sven Simons,Middenvelder,Fortuna,1250000,true
176,Yassin Oukili,Middenvelder,Fortuna,1500000,true
175,Édouard Michut,Middenvelder,Fortuna,1500000,true
169,Ivo Pinto,Verdediger,Fortuna,1750000,true
168,Iván Márquez,Verdediger,Fortuna,1750000,true
173,Jasper Dahlhaus,Verdediger,Fortuna,1500000,true
167,Justin Hubner,Verdediger,Fortuna,1500000,true
171,Siebe Wylin,Verdediger,Fortuna,1250000,true
170,Syb van Ottele,Verdediger,Fortuna,1500000,true
98,Dani Tijman,Aanvaller,Go Ahead,1000000,true
110,Erik Flataker,Aanvaller,Go Ahead,1750000,true
114,Mathis Suray,Aanvaller,Go Ahead,2250000,true
108,Ofosu Boakye,Aanvaller,Go Ahead,1000000,true
113,Oskar Sivertsen,Aanvaller,Go Ahead,1250000,true
111,Richonell Margaret,Aanvaller,Go Ahead,1500000,true
112,Stefán Ingi Sigurdarson,Aanvaller,Go Ahead,1750000,true
104,Søren Tengstedt,Aanvaller,Go Ahead,1750000,true
107,Thibo Baeten,Aanvaller,Go Ahead,1500000,true
109,Victor Edvardsen,Aanvaller,Go Ahead,2000000,true
88,Kjetil Haug,Keeper,Go Ahead,1500000,true
90,Nando Verdoni,Keeper,Go Ahead,1000000,true
89,Nick Marsman,Keeper,Go Ahead,1500000,true
105,Calvin Twigt,Middenvelder,Go Ahead,1500000,true
101,Evert Linthorst,Middenvelder,Go Ahead,1500000,true
102,Melle Meulensteen,Middenvelder,Go Ahead,1750000,true
106,Robbin Weijenberg,Middenvelder,Go Ahead,1250000,true
103,Yassir Salah Rahmouni,Middenvelder,Go Ahead,1250000,true
97,Alfons Sampsted,Verdediger,Go Ahead,1750000,true
93,Dean James,Verdediger,Go Ahead,1750000,true
100,Eus Waayers,Verdediger,Go Ahead,1250000,true
95,Gerrit Nauber,Verdediger,Go Ahead,1750000,true
99,Giovanni van Zwam,Verdediger,Go Ahead,1500000,true
94,Joris Kramer,Verdediger,Go Ahead,2000000,true
91,Julius Dirksen,Verdediger,Go Ahead,1500000,true
96,Pim Saathof,Verdediger,Go Ahead,1000000,true
92,Tomas Galvez,Verdediger,Go Ahead,1500000,true
317,Brynjólfur Willumsson,Aanvaller,Groningen,1750000,true
312,Nils Eggens,Aanvaller,Groningen,1250000,true
313,Noam Emeran,Aanvaller,Groningen,1250000,true
318,Oskar Zawada,Aanvaller,Groningen,1500000,true
315,Ryan Metu,Aanvaller,Groningen,1250000,true
316,Thom van Bergen,Aanvaller,Groningen,2250000,true
297,Etienne Vaessen,Keeper,Groningen,2250000,true
296,Lovro Stubljar,Keeper,Groningen,1250000,true
295,Rijk Janse,Keeper,Groningen,1000000,true
